Step,Train Invar Loss,Train SIGReg Loss,Train Grad Norm,Valid Embed Std,Valid KNN MCC,Valid LogReg MCC
0,,,,0.1624081879854202,0.2342555785488233,0.2667362132494996
10,0.0839839093387126,73.9,18.0335750579834,,,
20,0.0878012306988239,73.75,17.45907402038574,,,
30,0.0923566929996013,71.3,18.83058929443359,,,
40,0.097896683961153,66.925,20.28714561462402,,,
50,0.1022311635315418,60.175,18.39674758911133,,,
60,0.1080655552446842,53.075,16.90464973449707,,,
70,0.1233200646936893,45.1,14.02910995483398,,,
80,0.1451728269457817,37.65,10.22635841369629,,,
90,0.164655889570713,31.425,8.558754920959473,,,
100,0.1972925379872322,25.675,5.90601921081543,,,
110,0.2202118203043938,21.725,4.736443042755127,,,
120,0.2630115509033203,18.35,4.029536247253418,,,
130,0.29799864590168,15.70625,3.600613594055176,,,
140,0.3196924924850464,14.19375,3.270425796508789,,,
150,0.3285358160734176,12.89375,3.036312818527222,,,
160,0.3581224054098129,11.7625,2.337875843048096,,,
170,0.3669579982757568,11.3625,2.61936092376709,,,
180,0.3731782615184784,10.8375,3.056061744689941,,,
190,0.3998994678258896,10.2,3.086142301559448,,,
200,0.4100529879331589,9.5375,2.949187278747559,,,
210,0.4511280685663223,9.028125,2.354785919189453,,,
220,0.4529623985290527,8.31875,3.073228597640991,,,
230,0.4503068596124649,8.10625,2.195929288864136,,,
240,0.4517149418592453,7.8875,2.463872909545898,,,
250,0.4773668825626373,6.753125,1.865879416465759,,,
260,0.4659379869699478,6.81875,1.95007598400116,,,
270,0.4921917498111725,6.2,1.923261046409607,,,
280,0.4820974439382553,6.140625,1.907756209373474,,,
290,0.4892837226390839,6.04375,1.69512951374054,,,
300,0.4814982116222382,5.88125,1.885861277580261,,,
310,0.4666636943817138,6.396875,2.592620611190796,,,
320,0.4832444190979004,5.709375,2.8674252033233643,,,
330,0.4617870718240738,5.884375,2.236322402954102,,,
340,0.4757734090089798,5.471875,1.975390791893005,,,
350,0.4724138200283051,5.740625,2.066298246383667,,,
360,0.4686781227588653,5.415625,2.493102312088013,,,
370,0.4533873051404953,5.528125,2.538194894790649,,,
380,0.4606639951467514,5.20625,2.254133939743042,,,
390,0.4487591415643692,5.503125,1.991968750953674,,,
400,0.4482519298791885,5.225,4.16445255279541,,,
410,0.4514768451452255,5.33125,2.346529960632324,,,
420,0.4286238431930542,5.775,3.755585908889771,,,
430,0.4317372351884842,5.334375,2.066536426544189,,,
440,0.4131145596504212,5.378125,2.961925745010376,,,
450,0.4326355755329132,5.0125,3.260984420776367,,,
460,0.3992130696773529,5.434375,2.557919502258301,,,
470,0.4392017841339111,4.709375,2.406763315200806,,,
480,0.4015513777732849,5.3375,4.092179298400879,,,
490,0.4170619070529938,4.840625,3.876004695892334,,,
500,0.4038006275892257,4.778125,2.7629036903381348,,,
510,0.3971060365438461,4.70625,2.395744562149048,,,
520,0.391618138551712,4.8125,3.600874185562134,,,
530,0.3709026306867599,4.934375,3.066816806793213,,,
540,0.371634778380394,4.6828125,4.961505889892578,,,
550,0.3753552496433258,4.79375,4.695061206817627,,,
560,0.3716558337211609,4.7015625,4.451467037200928,,,
570,0.3747690856456757,4.5390625,1.845048427581787,,,
580,0.3560258537530899,4.353125,4.1827778816223145,,,
590,0.3580649048089981,4.2828125,4.503616809844971,,,
600,0.3583639532327652,4.2890625,5.069470882415771,,,
610,0.3445952743291855,4.275,5.3258957862854,,,
620,0.3627763509750366,4.0828125,6.421439170837402,,,
630,0.3354129195213318,4.2296875,6.574819087982178,,,
640,0.3521111845970154,3.8734375,4.525722026824951,,,
650,0.338548555970192,3.96875,5.170410633087158,,,
660,0.3476822763681412,3.7109375,4.291515827178955,,,
670,0.3361917287111282,3.675,3.4462697505950928,,,
680,0.31417096555233,3.8890625,4.2380900382995605,,,
690,0.340811014175415,3.5375,6.412315845489502,,,
700,0.3249800175428391,3.7484375,3.661649227142334,,,
710,0.3291011154651642,3.328125,3.154690742492676,,,
720,0.3113361656665802,3.5484375,3.9781699180603023,,,
730,0.3153689920902252,3.2375,4.254271984100342,,,
740,0.3262835502624511,3.1625,3.135033130645752,,,
750,0.321381065249443,3.2625,3.235790729522705,,,
760,0.3129493802785873,3.1609375,3.223217248916626,,,
770,0.3175857126712799,3.0640625,3.053657293319702,,,
780,0.314203143119812,3.1921875,5.898196697235107,,,
790,0.322282999753952,2.878125,3.092912912368774,,,
800,0.3051764100790024,3.0546875,4.163723468780518,,,
810,0.3087784796953201,2.8609375,7.5874834060668945,,,
820,0.3043190121650696,2.875,6.565806865692139,,,
830,0.3073172301054001,2.7484375,6.569851875305176,,,
840,0.3018775224685669,2.9875,3.933450937271118,,,
850,0.2995550096035003,2.7390625,3.712773084640503,,,
860,0.3101978093385697,2.54375,5.623179912567139,,,
870,0.3025388658046723,2.3984375,8.157429695129395,,,
880,0.3099689185619354,2.290625,2.862927198410034,,,
890,0.301428484916687,2.496875,4.765085697174072,,,
900,0.3033883213996887,2.290625,7.351458072662354,,,
910,0.2897173941135406,2.28828125,6.622267723083496,,,
920,0.3034676194190979,2.16484375,6.5662102699279785,,,
930,0.3036153972148895,2.1109375,4.282180786132812,,,
940,0.2985478758811951,2.16875,1.782396554946899,,,
950,0.2967132359743118,2.06875,8.083751678466797,,,
960,0.2966454952955246,2.0703125,4.856668949127197,,,
970,0.2980019241571427,1.92734375,5.355635643005371,,,
980,0.3040135145187378,1.98828125,1.764657735824585,,,
990,0.2977584034204483,1.9921875,3.52687931060791,,,
1000,0.2921751588582993,1.99140625,3.805334091186523,0.4476802051067352,0.3030399770174317,0.3775024167074891
1010,0.2911059439182281,1.859375,2.433667421340942,,,
1020,0.28967325091362,1.90859375,6.180249691009521,,,
1030,0.2934937208890915,2.1375,4.95098352432251,,,
1040,0.2937583684921264,1.865625,4.678178787231445,,,
1050,0.2901251316070557,1.92890625,8.180471420288086,,,
1060,0.2884774386882782,2.021875,2.705102920532227,,,
1070,0.2757379233837128,2.05546875,6.819986343383789,,,
1080,0.2850135117769241,1.8890625,5.34201192855835,,,
1090,0.2925649404525757,1.77421875,2.448920965194702,,,
1100,0.2796509206295014,1.88828125,4.412287712097168,,,
1110,0.2893043339252472,1.725,5.396656513214111,,,
1120,0.2788505256175995,1.86015625,2.004311561584473,,,
1130,0.2839486181735992,1.771875,3.841044664382935,,,
1140,0.2879916220903397,1.803125,1.5216172933578491,,,
1150,0.2742702722549438,1.94375,9.132457733154297,,,
1160,0.2769467145204544,1.8203125,7.714694023132324,,,
1170,0.2758007645606995,1.75859375,4.768389701843262,,,
1180,0.2738211840391159,1.7625,6.022321224212646,,,
1190,0.2716458141803741,1.72265625,4.590863227844238,,,
1200,0.2753331571817398,1.73046875,2.929152011871338,,,
1210,0.2674527257680893,1.93359375,10.44862651824951,,,
1220,0.2739562779664994,1.77734375,5.393853187561035,,,
1230,0.2684087380766869,1.7359375,3.168632507324219,,,
1240,0.2629315212368965,1.9625,3.910194635391235,,,
1250,0.2611765667796135,1.7453125,2.736928224563599,,,
1260,0.2633101224899292,1.85625,3.915270328521729,,,
1270,0.2628379836678505,1.77421875,3.044449329376221,,,
1280,0.2595162838697433,1.84296875,5.959766864776611,,,
1290,0.262657918035984,1.65390625,2.967180252075195,,,
1300,0.2518694475293159,1.82890625,2.229793310165405,,,
1310,0.2521061584353447,1.7109375,6.536617279052734,,,
1320,0.2494471669197083,1.77734375,3.560157299041748,,,
1330,0.2551292806863785,1.73828125,3.122848272323608,,,
1340,0.2496029078960419,2.0203125,7.079526424407959,,,
1350,0.2541017308831215,1.790625,1.853515148162842,,,
1360,0.2486291483044624,1.865625,3.854249238967896,,,
1370,0.2516776219010353,1.71484375,1.8486230373382568,,,
1380,0.2510672554373741,1.74296875,5.973971366882324,,,
1390,0.2488009452819824,1.71640625,1.477327942848206,,,
1400,0.2436337798833847,1.796875,5.559249401092529,,,
1410,0.2474835574626923,1.76484375,2.349769830703735,,,
1420,0.2493672832846641,1.6859375,3.565290451049805,,,
1430,0.244987453520298,1.74765625,5.443670272827148,,,
1440,0.2433335244655609,1.6703125,2.534173965454102,,,
1450,0.2443129554390907,1.72109375,5.679879665374756,,,
1460,0.2474259555339813,1.68203125,1.693336606025696,,,
1470,0.2470810949802399,1.72578125,5.224053859710693,,,
1480,0.240992160141468,1.6921875,2.9869918823242188,,,
1490,0.2383395850658417,1.6890625,2.48921012878418,,,
1500,0.2418943837285042,1.59609375,4.194155216217041,,,
1510,0.2381507992744446,1.65625,2.227237701416016,,,
1520,0.2377198934555054,1.7671875,3.5929477214813232,,,
1530,0.2403172120451927,1.6375,3.359089612960815,,,
1540,0.2346239313483238,1.70703125,2.408075094223022,,,
1550,0.2354351326823235,1.78203125,2.689526796340942,,,
1560,0.2382758691906929,1.64921875,6.255322456359863,,,
1570,0.244288632273674,1.66015625,5.210327625274658,,,
1580,0.2363505393266678,1.69765625,5.299008369445801,,,
1590,0.234466427564621,1.63515625,2.000575065612793,,,
1600,0.2367674753069878,1.66640625,1.851509809494019,,,
1610,0.2396429315209389,1.86171875,3.175817966461182,,,
1620,0.2306924790143967,1.790625,4.981536865234375,,,
1630,0.238288339972496,1.65078125,1.565813899040222,,,
1640,0.2238187059760094,1.98203125,3.716623544692993,,,
1650,0.2318778678774834,1.6859375,1.543696999549866,,,
1660,0.234356701374054,1.7234375,2.899461030960083,,,
1670,0.2416855126619339,1.8015625,1.757162809371948,,,
1680,0.239056034386158,1.70546875,6.151126384735107,,,
1690,0.2332339718937874,1.6640625,4.167529106140137,,,
1700,0.2324980929493904,1.7703125,1.813026547431946,,,
1710,0.2329064041376114,1.840625,4.797877311706543,,,
1720,0.2308625847101212,1.5625,3.675775527954102,,,
1730,0.2236122667789459,1.68671875,3.973223686218262,,,
1740,0.2257812589406967,1.8296875,3.490543603897095,,,
1750,0.2317787706851959,1.6875,2.41300106048584,,,
1760,0.2406296297907829,1.6734375,2.458982229232788,,,
1770,0.2240384474396706,1.75078125,3.80428409576416,,,
1780,0.2343123987317085,1.6640625,2.601972103118896,,,
1790,0.2310911118984222,1.71796875,1.513192415237427,,,
1800,0.2310775771737099,1.64765625,1.7779039144515991,,,
1810,0.2243086382746697,1.6703125,3.696949481964111,,,
1820,0.2293590113520622,1.796875,3.5298912525177,,,
1830,0.2241287976503372,1.665625,2.340486288070679,,,
1840,0.2224236667156219,1.77109375,2.674776315689087,,,
1850,0.2241385623812676,1.63984375,3.7631723880767822,,,
1860,0.2298161953687668,1.70078125,2.523227214813232,,,
1870,0.2291427791118622,1.82109375,2.033120155334473,,,
1880,0.230189448595047,1.74140625,3.792895317077637,,,
1890,0.2267232477664947,1.80859375,4.640473365783691,,,
1900,0.2283852204680443,1.71171875,3.594495058059692,,,
1910,0.2253745466470718,1.63203125,1.595672965049744,,,
1920,0.2260767698287964,1.74765625,3.062687635421753,,,
1930,0.2220214143395424,1.63828125,3.254989862442017,,,
1940,0.2253735229372978,1.6328125,4.534113883972168,,,
1950,0.2287812009453773,1.671875,1.47411060333252,,,
1960,0.221733495593071,1.67578125,5.256263732910156,,,
1970,0.2303429037332535,1.6859375,2.204580783843994,,,
1980,0.2228398010134697,1.69453125,1.998398780822754,,,
1990,0.2281965598464012,1.625,1.994478225708008,,,
2000,0.2167666345834732,1.80078125,1.5590112209320068,0.4372599124908447,0.344530564568701,0.4478773110089199
2010,0.2245595157146454,1.703125,2.894842624664307,,,
2020,0.2144499868154526,1.64453125,1.503201961517334,,,
2030,0.2146191850304603,1.68359375,2.408503770828247,,,
2040,0.2203312009572983,1.68671875,1.798085451126099,,,
2050,0.2193410515785217,1.70234375,3.641826152801514,,,
2060,0.2159888014197349,1.71484375,4.188124179840088,,,
2070,0.2207150548696518,1.678125,1.914786696434021,,,
2080,0.2155128657817841,1.57265625,3.344464302062988,,,
2090,0.2124165743589401,1.753125,1.95143735408783,,,
2100,0.215185834467411,1.59140625,1.457098960876465,,,
2110,0.214535591006279,1.70390625,3.010176181793213,,,
2120,0.2136584639549255,1.6828125,4.596191883087158,,,
2130,0.216250242292881,1.7578125,2.700241565704346,,,
2140,0.2182152897119522,1.6921875,2.143515586853027,,,
2150,0.218940569460392,1.76640625,1.502933382987976,,,
2160,0.2153858616948128,1.78671875,2.184811115264893,,,
2170,0.2151016309857368,1.67578125,1.916645288467407,,,
2180,0.2212539732456207,1.6875,1.589973568916321,,,
2190,0.2216967105865479,1.67890625,3.335472106933594,,,
2200,0.2128256380558014,1.634375,4.145622730255127,,,
2210,0.2203819960355759,1.71015625,1.259146332740784,,,
2220,0.2122944489121437,1.66875,3.168110609054565,,,
2230,0.2192440062761307,1.6703125,1.27907121181488,,,
2240,0.2157013267278671,1.60390625,2.087966442108154,,,
2250,0.2165525645017624,1.6640625,2.102711915969849,,,
2260,0.2094920292496681,1.65625,2.03593111038208,,,
2270,0.2170766472816467,1.7234375,3.730637311935425,,,
2280,0.2043690398335457,1.67890625,1.59063196182251,,,
2290,0.215729233622551,1.63828125,3.3843905925750732,,,
2300,0.2100279167294502,1.63046875,2.486531019210815,,,
2310,0.2078655779361725,1.6296875,2.841856241226196,,,
2320,0.20281792730093,1.67890625,1.063079595565796,,,
2330,0.2145299091935158,1.6140625,2.2516226768493652,,,
2340,0.205782262980938,1.66484375,2.509368658065796,,,
2350,0.2140913620591164,1.7796875,4.822304725646973,,,
2360,0.2117647781968117,1.553125,1.398496031761169,,,
2370,0.2079379856586456,1.58046875,1.217997550964355,,,
2380,0.2153654828667641,1.58125,2.503012418746948,,,
2390,0.2135767892003059,1.69375,2.597412824630737,,,
2400,0.2067527443170548,1.6796875,3.275005340576172,,,
2410,0.2145638957619667,1.80859375,2.070392370223999,,,
2420,0.2071087270975113,1.6171875,2.286313533782959,,,
2430,0.2130369365215302,1.67890625,2.266743659973145,,,
2440,0.2095630332827568,1.69921875,3.026530981063843,,,
2450,0.2084791630506516,1.56953125,1.089831590652466,,,
2460,0.2122355431318283,1.72265625,3.105916261672974,,,
2470,0.2083349287509918,1.67578125,1.298861980438232,,,
2480,0.20919389128685,1.59296875,1.678399682044983,,,
2490,0.2085830166935921,1.57109375,2.541742563247681,,,
2500,0.2052652537822723,1.6828125,2.342612981796265,,,
2510,0.2047492563724518,1.684375,1.483410716056824,,,
2520,0.2122977718710899,1.6921875,2.413084745407104,,,
2530,0.2057219669222832,1.671875,2.146796703338623,,,
2540,0.2075407013297081,1.609375,3.136629819869995,,,
2550,0.1997088074684143,1.6203125,2.7887320518493652,,,
2560,0.2104604303836823,1.66640625,4.513852596282959,,,
